,state,polling_place,latitude,longitude
260,NSW,Lethbridge Park,-33.7382,150.80100000000002
261,NSW,Minchinbury,-33.7875,150.83100000000002
262,NSW,Mount Druitt,-33.7673,150.826
263,NSW,Mount Druitt North,-33.7639,150.812
264,NSW,Mount Druitt South,-33.7749,150.814
265,NSW,Plumpton,-33.7491,150.838
266,NSW,Rooty Hill North,-33.769,150.841
267,NSW,Rooty Hill South,-33.7758,150.847
268,NSW,St Clair,-33.7965,150.786
269,NSW,St Marys North,-33.7566,150.783
270,NSW,Shalvey,-33.7278,150.80700000000002
271,NSW,Tregear,-33.7454,150.795
272,NSW,Arndell Park North,-33.7871,150.891
273,NSW,Whalan,-33.7526,150.81
274,NSW,Willmot,-33.7256,150.79399999999998
275,NSW,Burraneer Bay,-34.0507,151.13299999999998
276,NSW,Caringbah South,-34.0537,151.123
277,NSW,Caringbah Central,-34.0462,151.123
278,NSW,Caringbah North,-34.0334,151.121
279,NSW,Caringbah West,-34.0459,151.113
280,NSW,Cronulla,-34.0538,151.148
281,NSW,Cronulla Central,-34.0573,151.153
282,NSW,Cronulla North,-34.0485,151.15200000000002
283,NSW,Cronulla South,-34.0653,151.154
284,NSW,Grays Point,-34.0587,151.072
285,NSW,Gymea North,-34.0265,151.088
286,NSW,Gymea Bay,-34.0468,151.083
287,NSW,Kareela,-34.0131,151.083
288,NSW,Kirrawee South,-34.0436,151.075
289,NSW,Kurnell,-34.0108,151.204
290,NSW,Lilli Pilli,-34.0636,151.119
291,NSW,Miranda,-34.0332,151.09799999999998
292,NSW,Miranda Central,-34.0364,151.101
293,NSW,Miranda North,-34.0314,151.113
294,NSW,Sylvania,-34.0084,151.112
295,NSW,Sylvania Heights,-34.0124,151.09799999999998
296,NSW,Taren Point,-34.0189,151.123
297,NSW,Sylvania South,-34.0196,151.105
298,NSW,Greenhills Beach,-34.0389,151.158
299,NSW,Woolooware,-34.0456,151.14600000000002
300,NSW,Yowie Bay,-34.0479,151.10299999999998
301,NSW,Beechwood,-31.4366,152.681
302,NSW,Bellbrook,-30.8188,152.509
303,NSW,Bellingen,-30.4516,152.895
304,NSW,Boambee,-30.3346,153.077
305,NSW,Bonville,-30.3847,153.05100000000002
306,NSW,Bowraville,-30.6436,152.85399999999998
307,NSW,Coffs Harbour,-30.2917,153.119
308,NSW,Coffs Harbour Central,-30.2987,153.118
309,NSW,Coffs Harbour Jetty,-30.3055,153.136
310,NSW,Coffs Harbour West,-30.2828,153.112
311,NSW,Comboyne,-31.6051,152.472
312,NSW,Crescent Head,-31.1898,152.971
313,NSW,Eungai Creek,-30.831,152.882
314,NSW,Frederickton,-31.0327,152.88
315,NSW,Gladstone,-31.0263,152.946
316,NSW,Gleniffer,-30.3883,152.884
317,NSW,Aldavilla,-31.0555,152.786
318,NSW,Port Macquarie South,-31.4535,152.91899999999998
319,NSW,Hat Head,-31.0514,153.04399999999998
320,NSW,Hibbard,-31.429000000000002,152.88299999999998
321,NSW,Huntingdon,-31.4783,152.661
322,NSW,Karangi,-30.2529,153.047
323,NSW,Kempsey East,-31.0834,152.847
324,NSW,Kempsey High,-31.0693,152.826
325,NSW,Kempsey South,-31.0949,152.83
326,NSW,Kempsey West,-31.0778,152.83
327,NSW,Long Flat,-31.4369,152.49
328,NSW,Macksville,-30.7095,152.91899999999998
329,NSW,Missabotti,-30.566999999999997,152.81
330,NSW,Mylestom,-30.4638,153.043
331,NSW,Nambucca Heads,-30.6421,153.005
332,NSW,Coffs Harbour South,-30.2926,153.10399999999998
333,NSW,Newville,-30.6403,152.984
334,NSW,Pembrooke,-31.3803,152.757
335,NSW,Port Macquarie Central,-31.4293,152.914
336,NSW,Port Macquarie East,-31.4341,152.921
337,NSW,Innes Lake,-31.4633,152.877
338,NSW,Port Macquarie West,-31.4355,152.89600000000002
339,NSW,Raleigh,-30.4497,153.013
340,NSW,Repton,-30.4461,153.029
341,NSW,Rollands Plains,-31.2788,152.679
342,NSW,Sawtell,-30.3629,153.09799999999998
343,NSW,Scotts Head,-30.7494,152.995
344,NSW,South West Rocks,-30.8911,153.039
345,NSW,Stuarts Point,-30.8207,152.994
346,NSW,Tacking Point,-31.4726,152.922
347,NSW,Taylors Arm,-30.765,152.719
348,NSW,Telegraph Point,-31.3338,152.79399999999998
349,NSW,Thora,-30.4294,152.753
350,NSW,Toormina,-30.3512,153.085
351,NSW,Upper Orara,-30.2888,153.013
352,NSW,Urunga,-30.4951,153.02100000000002
353,NSW,Utungun,-30.739,152.829
354,NSW,Valla Beach,-30.5917,153.002
355,NSW,Warrell Creek,-30.7565,152.905
356,NSW,Wauchope,-31.451999999999998,152.731
357,NSW,Wauchope South,-31.4694,152.731
358,NSW,Willawarrin,-30.9259,152.625
359,NSW,Berkeley,-34.4798,150.856
360,NSW,Berkeley South,-34.4797,150.84799999999998
361,NSW,Berkeley West,-34.4751,150.841
362,NSW,Brownsville,-34.4833,150.804
363,NSW,Coniston,-34.4386,150.887
364,NSW,Cringila,-34.4683,150.872
365,NSW,Dapto,-34.497,150.793
366,NSW,Figtree,-34.4389,150.85399999999998
367,NSW,Figtree Heights,-34.4316,150.856
368,NSW,Gwynneville,-34.4181,150.879
369,NSW,Hayes Park,-34.492,150.816
370,NSW,Keiraville,-34.4147,150.873
371,NSW,Koonawarra,-34.5012,150.808
372,NSW,Lake Heights,-34.4902,150.868
373,NSW,Lindsay Park,-34.4298,150.862
374,NSW,Mount Keira,-34.42,150.863
375,NSW,Mount Kembla,-34.4326,150.81799999999998
376,NSW,Mount Saint Thomas,-34.4373,150.87
377,NSW,Port Kembla,-34.4876,150.914
378,NSW,Port Kembla Central,-34.4816,150.901
379,NSW,Primbee,-34.5014,150.882
380,NSW,Unanderra South,-34.4601,150.836
381,NSW,Warrawong,-34.481,150.878
382,NSW,Warrawong Central,-34.4846,150.886
383,NSW,Windang,-34.5316,150.866
384,NSW,Wollongong,-34.4257,150.898
385,NSW,Wollongong Central,-34.4296,150.886
386,NSW,Wollongong North,-34.4247,150.884
387,NSW,Smith's Hill,-34.4192,150.895
388,NSW,Shelly Beach,-33.3716,151.476
389,NSW,Bateau Bay East,-33.3913,151.475
390,NSW,Berkeley Vale,-33.3502,151.436
391,NSW,Berkeley Vale North,-33.34,151.434
392,NSW,Blue Haven,-33.2123,151.504
393,NSW,Bonnells Bay,-33.1136,151.516
394,NSW,Budgewoi,-33.2263,151.549
395,NSW,Buff Point,-33.2302,151.537
396,NSW,Charmhaven,-33.228,151.504
397,NSW,Chittaway Bay,-33.3255,151.43200000000002
398,NSW,Forresters Beach,-33.3956,151.453
399,NSW,Gorokan,-33.2518,151.51
400,NSW,Gwandalan,-33.1383,151.58700000000002
401,NSW,Holgate,-33.4051,151.408
402,NSW,Jilliby,-33.2399,151.38
403,NSW,Kanwal,-33.2626,151.484
404,NSW,Killarney Vale,-33.3651,151.45600000000002
405,NSW,Killarney Vale South,-33.3763,151.465
406,NSW,Kulnura,-33.2261,151.224
407,NSW,Lake Munmorah,-33.1899,151.576
408,NSW,Lisarow,-33.3815,151.376
409,NSW,Long Jetty,-33.3571,151.485
410,NSW,Mannering Park,-33.1525,151.539
411,NSW,Narara,-33.397,151.346
412,NSW,Norah Head,-33.2796,151.566
413,NSW,The Entrance North,-33.3353,151.505
414,NSW,Ourimbah,-33.3558,151.368
415,NSW,San Remo,-33.2153,151.515
416,NSW,Morisset Peninsula,-33.1116,151.564
417,NSW,The Entrance,-33.3463,151.493
418,NSW,Long Jetty East,-33.356,151.494
419,NSW,Toukley,-33.2657,151.54
420,NSW,Toukley East,-33.2675,151.55
421,NSW,Tuggerah,-33.3133,151.415
422,NSW,Tuggerawong,-33.2795,151.486
423,NSW,Tumbi Umbi,-33.3655,151.452
424,NSW,Wamberal,-33.4235,151.441
425,NSW,Wamberal North,-33.4118,151.44899999999998
426,NSW,Terrigal Lagoon,-33.4415,151.438
427,NSW,Erina Heights,-33.4281,151.414
428,NSW,Hamlyn Terrace,-33.2505,151.468
429,NSW,Wyee,-33.1758,151.483
430,NSW,Wyong,-33.2753,151.412
431,NSW,Wyong Creek,-33.2676,151.34799999999998
432,NSW,Yarramalong,-33.2233,151.278
433,NSW,Beecroft,-33.7523,151.065
434,NSW,Carlingford,-33.78,151.055
435,NSW,Carlingford North,-33.7722,151.037
436,NSW,Cumberland High,-33.7855,151.03799999999998
437,NSW,Cheltenham,-33.7578,151.07399999999998
438,NSW,Denistone,-33.7924,151.084
439,NSW,Denistone East,-33.7935,151.097
440,NSW,Yates Avenue,-33.7963,151.058
441,NSW,Dundas Valley,-33.7909,151.05100000000002
442,NSW,Eastwood,-33.7928,151.078
443,NSW,Eastwood West,-33.7906,151.067
444,NSW,Epping,-33.7745,151.079
445,NSW,Epping Heights,-33.7628,151.07399999999998
446,NSW,Denistone West,-33.8036,151.07
447,NSW,Meadowbank,-33.8148,151.092
448,NSW,North Rocks,-33.7688,151.026
449,NSW,Oatlands,-33.8002,151.023
450,NSW,Ryde,-33.8128,151.105
451,NSW,Ryde Heights,-33.8178,151.09799999999998
452,NSW,Ryde South,-33.8218,151.108
453,NSW,Telopea,-33.7966,151.043
454,NSW,West Ryde,-33.8087,151.085
455,NSW,Adaminaby,-35.9934,148.77700000000002
456,NSW,Araluen,-35.6519,149.813
457,NSW,Batehaven,-35.7295,150.195
458,NSW,Batemans Bay,-35.7117,150.178
459,NSW,Bawley Point,-35.5569,150.377
460,NSW,Bega,-36.6783,149.839
461,NSW,Bega Central,-36.6707,149.841
462,NSW,Bemboka,-36.6316,149.575
463,NSW,Bermagui,-36.4289,150.076
464,NSW,Berridale,-36.3723,148.829
465,NSW,Bimbimbie,-36.8925,149.906
466,NSW,Bodalla,-36.0976,150.053
467,NSW,Bombala,-36.9168,149.232
468,NSW,Braidwood,-35.4413,149.798
469,NSW,Bredbo,-35.954,149.148
470,NSW,Brogo,-36.574,149.82299999999998
471,NSW,Bungendore,-35.2552,149.445
472,NSW,Burrill Lake,-35.3849,150.453
473,NSW,Candelo,-36.7684,149.696
474,NSW,Captains Flat,-35.5919,149.445
475,NSW,Central Tilba,-36.3126,150.076
476,NSW,Cobargo,-36.389,149.889
477,NSW,Cooma,-36.2375,149.125
478,NSW,Cooma North,-36.2183,149.131
479,NSW,Dalgety,-36.5028,148.83700000000002
480,NSW,Dalmeny,-36.1618,150.12
481,NSW,Delegate,-37.0415,148.938
482,NSW,Eden,-37.0561,149.907
483,NSW,Jerangle,-35.9275,149.35
484,NSW,Jindabyne,-36.4151,148.624
485,NSW,Majors Creek,-35.569,149.74200000000002
486,NSW,Merimbula,-36.887,149.917
487,NSW,Michelago,-35.7056,149.161
488,NSW,Milton,-35.3176,150.437
489,NSW,Mogo,-35.7852,150.14
490,NSW,Mollymook/Narrawallee,-35.3209,150.465
491,NSW,Moruya,-35.9127,150.076
492,NSW,Narooma,-36.2162,150.129
493,NSW,Nelligen,-35.6479,150.142
494,NSW,Nimmitabel,-36.5107,149.289
495,NSW,Pambula,-36.9264,149.872
496,NSW,Quaama,-36.4642,149.871
497,NSW,Queanbeyan,-35.3572,149.236
498,NSW,Queanbeyan Central,-35.354,149.235
499,NSW,Queanbeyan East,-35.3445,149.246
500,NSW,Queanbeyan High,-35.3527,149.222
501,NSW,Queanbeyan North,-35.3523,149.231
502,NSW,Queanbeyan South,-35.3656,149.22899999999998
503,NSW,Queanbeyan West,-35.3478,149.215
504,NSW,South Durras,-35.6642,150.292
505,NSW,Sunshine Bay,-35.741,150.21
506,NSW,Tanja,-36.6408,149.975
507,NSW,Tathra,-36.7336,149.97899999999998
508,NSW,Towamba,-37.0848,149.695
509,NSW,Tuross Head,-36.0387,150.124
510,NSW,Ulladulla,-35.3597,150.47
511,NSW,Wamboin,-35.251999999999995,149.306
512,NSW,Wolumla,-36.834,149.81
513,NSW,Wyndham,-36.9292,149.64600000000002
514,NSW,Albury,-36.083,146.91899999999998
515,NSW,Albury East,-36.071,146.945
516,NSW,Albury Central,-36.0733,146.917
517,NSW,Albury North,-36.0641,146.93200000000002
518,NSW,Albury West,-36.0783,146.895
519,NSW,Balranald,-34.6362,143.564
520,NSW,Barham,-35.6301,144.127
521,NSW,Barooga,-35.9129,145.69299999999998
522,NSW,Berrigan,-35.6594,145.815
523,NSW,Blighty,-35.5887,145.34799999999998
524,NSW,Bunnaloo,-35.7838,144.595
525,NSW,Buronga,-34.17,142.18200000000002
526,NSW,Burrumbuttock,-35.8378,146.8
527,NSW,Collingullie,-35.0886,147.127
528,NSW,Corowa,-35.9925,146.394
529,NSW,Corowa Central,-35.9942,146.381
530,NSW,Corowa South,-36.0212,146.376
531,NSW,Culcairn,-35.6679,147.04
532,NSW,Dareton,-34.0915,142.041
533,NSW,Deniliquin,-35.5359,144.961
534,NSW,Deniliquin North,-35.5255,144.982
535,NSW,Deniliquin West,-35.5246,144.952
536,NSW,Euston,-34.5754,142.745
537,NSW,Finley,-35.6402,145.57299999999998
538,NSW,Gerogery,-35.8368,146.99200000000002
539,NSW,Glenroy,-36.0556,146.917
540,NSW,Gol Gol,-34.179,142.222
541,NSW,Henty,-35.5166,147.031
542,NSW,Holbrook,-35.7175,147.32
543,NSW,Howlong,-35.9806,146.636
544,NSW,Hume,-36.0498,146.947
545,NSW,Jerilderie,-35.3554,145.726
546,NSW,Jindera,-35.9588,146.887
547,NSW,Jingellic,-35.9257,147.697
548,NSW,Khancoban,-36.2164,148.13
549,NSW,Koraleigh,-35.1564,143.418
550,NSW,Lavington,-36.0291,146.936
551,NSW,Lavington East,-36.04,146.94799999999998
552,NSW,Lockhart,-35.2224,146.714
553,NSW,Mathoura,-35.8134,144.898
554,NSW,Moama,-36.1146,144.762
555,NSW,Moulamein,-35.0892,144.034
556,NSW,Mulwala,-35.988,146.006
557,NSW,Murray Downs,-35.3454,143.599
558,NSW,Oaklands,-35.5526,146.17
559,NSW,Pleasant Hills,-35.4667,146.8
560,NSW,Rosewood,-35.6705,147.862
561,NSW,Table Top,-35.9679,147.007
562,NSW,The Rock,-35.2707,147.119
563,NSW,Thurgoona,-36.047,146.983
564,NSW,Tocumwal,-35.8143,145.56799999999998
565,NSW,Tooleybuc,-35.0269,143.338
566,NSW,Tooma,-35.9648,148.058
567,NSW,Tumbarumba,-35.7847,148.017
568,NSW,Urana,-35.3279,146.267
569,NSW,Wakool,-35.4669,144.393
570,NSW,Walbundrie,-35.6875,146.726
571,NSW,Walla Walla,-35.7591,146.90200000000002
572,NSW,Wentworth,-34.103,141.91899999999998
573,NSW,Yerong Creek,-35.3868,147.061
574,NSW,Ashcroft,-33.9162,150.89700000000002
575,NSW,Austral,-33.9344,150.813
576,NSW,Bonnyrigg,-33.8884,150.888
577,NSW,Bringelly,-33.9384,150.73
578,NSW,Green Valley East,-33.9096,150.874
579,NSW,Cabramatta,-33.8921,150.939
580,NSW,Cabramatta South,-33.8989,150.929
581,NSW,Cabramatta West,-33.8968,150.923
582,NSW,Cartwright,-33.9254,150.89
583,NSW,Chipping Norton,-33.912,150.96
584,NSW,Edensor Park North,-33.8745,150.879
585,NSW,Greenfield Park,-33.8735,150.891
586,NSW,Green Valley,-33.9082,150.866
587,NSW,Cabramatta West Central,-33.8897,150.908
588,NSW,Heckenberg,-33.9093,150.891
590,NSW,Liverpool,-33.9238,150.92600000000002
591,NSW,Liverpool West,-33.9271,150.907
592,NSW,Luddenham,-33.8816,150.692
593,NSW,Liverpool Central,-33.9171,150.914
594,NSW,Miller,-33.9229,150.881
595,NSW,Mount Pritchard,-33.9004,150.9
596,NSW,Mount Pritchard East,-33.9049,150.912
597,NSW,Mulgoa,-33.8367,150.654
598,NSW,Newbridge Heights,-33.9266,150.952
599,NSW,Sadleir,-33.9165,150.891
600,NSW,St Johns Park,-33.8874,150.898
601,NSW,Wakeley,-33.8792,150.912
