state,polling_place,premises,address,suburb,postcode,wheelchair_access
NSW,Kent Road,Kent Road Public School,Herring Rd,EASTWOOD,2122.0,F
NSW,Kittys Creek,Montessori Pre-School,Cressy Rd,EAST RYDE,2113.0,N
NSW,Lyon Park,Morling College,120 Herring Rd,MARSFIELD,2122.0,A
NSW,Marsfield,St Anthonys Parish Hall,54 Agincourt Rd,MARSFIELD,2122.0,F
NSW,Meadowbank,T.A.F.E. College,"Binghi Cottage, See St",MEADOWBANK,2114.0,N
NSW,Parkes Street,School Of Horticulture,Parkes St,WEST RYDE,2114.0,F
NSW,Putney,Putney Public School,193 Morrison Rd,PUTNEY,2112.0,F
NSW,Royal Ryde Homes,Weemala Homes,259 Morrison Rd,RYDE,2112.0,F
NSW,Ryde,Ryde Masonic Hall,142 Blaxland Rd,RYDE,2112.0,N
NSW,Ryde Central,Ryde Baptist Church Hall,Dobson Cres,RYDE,2112.0,N
NSW,Ryde East,Ryde East Public School,12 Twin Rd,EAST RYDE,2113.0,F
NSW,Ryde Heights,Ryde Courthouse,814 Victoria Rd,RYDE,2112.0,N
NSW,Ryde Hospital,Ryde Hospital,Denistone Rd,EASTWOOD,2122.0,F
NSW,Ryde North,North Ryde Public School,Cox's Rd,NORTH RYDE,2113.0,N
NSW,Ryde South,St Philip's Church,17 Douglas St,RYDE,2112.0,N
NSW,Truscott,Truscott Street Public School,Truscott St,NORTH RYDE,2113.0,F
NSW,Water Tanks,The Living Way Church,85 North Rd,RYDE,2112.0,A
NSW,West Ryde,West Ryde Public School,6 Endeavour St,WEST RYDE,2114.0,N
NSW,Wicks,Peter Board High School,Wicks Rd,NORTH RYDE,2113.0,N
NSW,Woolwich,Marist Sisters' College,66a Woolwich Rd,WOOLWICH,2110.0,F
NSW,Arcadia,Arcadia Public School,140 Arcadia Rd,ARCADIA,2159.0,N
NSW,Asquith,Asquith Public School,Dudley St,ASQUITH,2077.0,F
NSW,Beecroft,Beecroft Public School,90-98 Beecroft Rd,BEECROFT,2119.0,N
NSW,Beecroft West,Roselea Public School,449 North Rocks Rd,CARLINGFORD,2118.0,F
NSW,Berowra,Berowra Public School,Hillcrest Rd,BEROWRA,2081.0,N
NSW,Berowra North,Wideview Public School,Wideview Rd,BEROWRA HEIGHTS,2082.0,F
NSW,Berowra Waters,Marina Boatshed,199 Bay Rd,BEROWRA WATERS,2082.0,A
NSW,Bowden Brae,Bowden Brae Retirement Village,40 Pennant Hills Rd,NORMANHURST,2076.0,F
NSW,Brooklyn,Brooklyn Public School,106 Brooklyn Rd,BROOKLYN,2253.0,N
NSW,Cheltenham,Cheltenham Girls High School,The Promenade,CHELTENHAM,2119.0,N
NSW,Cherrybrook,Cherrybrook Public School,131 New Line Rd,CHERRYBROOK,2126.0,A
NSW,Cherrybrook South,Long Day Care Centre,69 Cedarwood Dr,CHERRYBROOK,2126.0,F
NSW,Cowan,Cowan Public School,Chandler Ave,COWAN,2081.0,N
NSW,Dural,Dural Public School,622 Old Northern Rd,DURAL,2158.0,A
NSW,Epping Heights,Epping Heights Public School,128 Kent St,EPPING,2121.0,N
NSW,Galston,Galston Public School,School Rd,GALSTON,2159.0,N
NSW,Glenorie,Glenorie Public School,1731 Old Northern Rd,GLENORIE,2157.0,A
NSW,Hornsby,Technical College,205 Pacific Hwy,HORNSBY,2077.0,N
NSW,Hornsby Heights,Hornsby Heights Public School,Somerville Rd,HORNSBY HEIGHTS,2077.0,N
NSW,Hornsby Hospital,Hornsby Hospital,Palmerston Rd,HORNSBY,2077.0,F
NSW,Hornsby North,Hornsby North Public School,Ida St,HORNSBY,2077.0,A
NSW,Hornsby South,Hornsby Girls High School,Edgeworth David Ave,HORNSBY,2077.0,N
NSW,Hornsby West,Uniting Church Hall,Cnr Frederick & William Sts,HORNSBY,2077.0,A
NSW,John Purchase,John Purchase Public School,Purchase Rd,CHERRYBROOK,2126.0,F
NSW,Middle Dural,Middle Dural Public School,Old Northern Rd,MIDDLE DURAL,2158.0,N
NSW,Mount Colah,Mount Colah Public School,Telopea St,MOUNT COLAH,2079.0,N
NSW,Mount Kuring-Gai,Mount Kuring-Gai Public School,Leeming St,MOUNT KURING-GAI,2080.0,N
NSW,Normanhurst,Normanhurst Public School,Pennant Hills Rd,NORMANHURST,2076.0,N
NSW,Normanhurst North,Hornsby South Public School,Clarke Rd,HORNSBY,2077.0,F
NSW,Normanhurst West,Normanhurst West Public School,Dartford Rd,THORNLEIGH,2120.0,F
NSW,Pennant Hills,Pennant Hills High School,Laurence Street,PENNANT HILLS,2120.0,N
NSW,Thompsons Corner,Pennant Hills West Public School,Church St,WEST PENNANT HILLS,2125.0,N
NSW,Thornleigh,Chinese & Aust Baptist Church,235 Pennant Hills Rd,THORNLEIGH,2120.0,N
NSW,Turramurra South,Turramurra South Public School,Kissing Point Rd,SOUTH TURRAMURRA,2074.0,N
NSW,Waitara,Waitara Public School,Edgeworth David Ave,WAHROONGA,2076.0,A
NSW,Waitara South,Mcquoin Park,McAuley Pl,WAITARA,2077.0,F
NSW,Warrawee,Warrawee Public School,Pacific Hwy,WARRAWEE,2074.0,N
NSW,Westleigh,Thornleigh West Public School,Giblett Ave,THORNLEIGH,2120.0,F
NSW,Bankstown,Bankstown Public School,Restwell St,BANKSTOWN,2200.0,N
NSW,Bankstown Central,Bankstown Masonic Centre,21 Restwell St,BANKSTOWN,2200.0,A
NSW,Bankstown North,Bankstown North Public School,322 Hume Hwy,BANKSTOWN,2200.0,N
NSW,Bankstown South,Bankstown South Infants School,14 Stacey St South,BANKSTOWN,2200.0,N
NSW,Bankstown West,Bankstown West Public School,Dutton St,BANKSTOWN,2200.0,N
NSW,Bass Hill,Public School,Horton St,BASS HILL,2197.0,N
NSW,Bass Hill Central,Chester Hill Scout Hall,Baden Ave,BASS HILL,2197.0,A
NSW,Bass Hill West,Bass High School,Arundle Rd,BASS HILL,2197.0,N
NSW,Birrong,Birrong Public School,132 Auburn Rd,BIRRONG,2143.0,A
NSW,Chester Hill,Chester Hill Senior Citizens Hall,Chester Hill Rd,CHESTER HILL,2162.0,A
NSW,Chester Hill North,Chester Hill High School,Miller Rd,CHESTER HILL,2162.0,N
NSW,Chullora,Greenacre Baptist Church,40 Shellcote Rd,CHULLORA,2190.0,N
NSW,Condell Park,Condell Park Public School,Augusta St,CONDELL PARK,2200.0,N
NSW,Condell Park North,St Clements Anglican Church,193 Edgar St,CONDELL PARK,2200.0,A
NSW,Condell Park South,Bankstown Senior College,Eldridge Rd,BANKSTOWN,2200.0,N
NSW,Georges Hall,Georges Hall Public School,Pennington Ave,GEORGES HALL,2198.0,A
NSW,Gosling Park,Bankstown S.E.S. Gosling Park,Chiswick Rd,GREENACRE,2190.0,N
NSW,Greenacre,Greenacre YMCA Roberts Park,Waterloo Rd,GREENACRE,2190.0,F
NSW,Greenacre West,Holy Savior Melkite Catholic School,80 Waterloo Road,GREENACRE,2190.0,A
NSW,Mount Lewis,Mount Lewis Infants School,Noble Ave,MOUNT LEWIS,2190.0,A
NSW,Parry Park,Wiley Park Scout Hall,33 Koala Rd,WILEY PARK,2195.0,F
NSW,Punchbowl Central,Punchbowl Boys High School,Kelly St,PUNCHBOWL,2196.0,N
NSW,St Pauls,St Pauls Church Bankstown,459 Chapel Rd,BANKSTOWN,2200.0,A
NSW,Sefton,Sefton Catholic School,Proctor Pde,SEFTON,2162.0,N
NSW,Villawood Central,Villawood Sacred Heart Church,122 Carawatha St,VILLAWOOD,2163.0,N
NSW,Villawood East,Villawood East Public School,Lowana St,VILLAWOOD,2163.0,N
NSW,Wiley Park West,Wiley Park Public School,95 King Georges Rd,WILEY PARK,2195.0,A
NSW,Yagoona,Yagoona Senior Citizens Centre,Cooper Rd,YAGOONA,2199.0,A
NSW,Yagoona West,St Marks Church Yagoona,211 Auburn Rd,YAGOONA,2199.0,A
NSW,Belrose,Wakehurst Public School,Glen St,BELROSE,2085.0,N
NSW,Belrose North,Belrose Public School,Ralston Ave,BELROSE,2085.0,A
NSW,Castle Cove,Castle Cove Public School,Kendall Rd,CASTLE COVE,2069.0,N
NSW,Chatswood,St Andrews Presbyterian Church,37 Anderson St,CHATSWOOD,2067.0,F
NSW,Chatswood North,St Paul's Anglican Church Hall,1 View Street,CHATSWOOD,2067.0,N
NSW,Chatswood West,Chatswood Public School,Pacific Hwy,CHATSWOOD,2067.0,A
NSW,Frenchs Forest,Frenchs Forest Public School,Ann St,FRENCHS FOREST,2086.0,A
NSW,Gordon,Ku-ring-gai Municipal Council Chambers,818 Pacific Hwy,GORDON,2072.0,A
NSW,Gordon East,Gordon East Public School,Rosedale Rd,GORDON,2072.0,N
NSW,Gordon West,Gordon West Public School,Ryde Rd,PYMBLE,2073.0,N
NSW,Kambora,Kambora Public School,Kambora & Woolrych Rd's,DAVIDSON,2085.0,A
NSW,Killara,St Martins Anglican Church Hall,9B Arnold St,KILLARA,2071.0,N
NSW,Killara East,Killara High School,Koola Ave,KILLARA,2071.0,A
NSW,Kissing Point,South Turramurra Kindergarten,10A Auluba Rd,SOUTH TURRAMURRA,2074.0,N
NSW,Lady Davidson Hospital,Lady Davidson Hospital,Bobbin Head Rd,TURRAMURRA NORTH,2074.0,F
NSW,Lindfield,St Albans Anglican Church Hall,Lindfield Ave,LINDFIELD,2070.0,N
NSW,Lindfield East,Lindfield East Public School,Tryon Rd,LINDFIELD,2070.0,A
NSW,Lindfield North,Lindfield Primary School,Pacific Hwy,LINDFIELD,2070.0,N
NSW,Lindfield West,Beaumont Road Public School,17 Beaumont Rd,KILLARA,2071.0,N
NSW,Mimosa,Mimosa Public School,Mimosa St,FRENCHS FOREST,2086.0,A
NSW,Pymble,Mount St Bernard School,Cnr Pacific Hwy & Bobbin Head Rd,PYMBLE,2073.0,A
NSW,Pymble North,Pymble Public School,Crown Rd,PYMBLE,2073.0,A
