state,polling_place,premises,address,suburb,postcode,wheelchair_access,match_source,match_type,latitude,longitude,geometry,pp_2016_index
NSW,Narwee,Narwee High School,Chamberlain St,NARWEE,2209.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9482,151.069,POINT (151.069 -33.9482),123
NSW,Oatley,Oatley Public School,Neville St,OATLEY,2223.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9847,151.08100000000005,POINT (151.081 -33.9847),124
NSW,Oatley West,Oatley West Public School,Oatley Park Ave,OATLEY,2223.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9796,151.065,POINT (151.065 -33.9796),125
NSW,Padstow,Padstow Park Public School,Segers Ave,PADSTOW,2211.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9542,151.031,POINT (151.031 -33.9542),126
NSW,Padstow East,1st Padstow Scouts Hall,107 Arab Rd,PADSTOW,2211.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.949,151.03,POINT (151.03 -33.949),127
NSW,Padstow North,Padstow TAFE,Raine Rd,PADSTOW,2211.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9485,151.026,POINT (151.026 -33.9485),127
NSW,Padstow South,Padstow Heights Public School,Chamberlain Rd,PADSTOW HEIGHTS,2211.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9672,151.03,POINT (151.03 -33.9672),129
NSW,Panania,Revesby Presbyterian Church,Corner Tower St & Eastern Ave,REVESBY,2212.0,A,google geocode,GEOMETRIC_CENTER,-33.9578721,151.011624,POINT (151.011624 -33.9578721),142
NSW,Panania Central,2nd Panania Scouts Hall,Wilson St,PANANIA,2213.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9519,150.998,POINT (150.998 -33.9519),131
NSW,Panania North,Panania North Public School,Bransgrove Rd,PANANIA,2213.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9451,150.999,POINT (150.999 -33.9451),132
NSW,Panania South,Panania Public School,Lawler St,PANANIA,2213.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9661,151.0,POINT (151 -33.9661),133
NSW,Peakhurst,Peakhurst Scouts Hall,Cnr Pearce Ave & Peake Pde,PEAKHURST,2210.0,N,google geocode,GEOMETRIC_CENTER,-33.9594649,151.06021850000002,POINT (151.0602185 -33.9594649),134
NSW,Peakhurst East,Peakhurst Public School,Bonds Rd,PEAKHURST,2210.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9553,151.061,POINT (151.061 -33.9553),134
NSW,Peakhurst South,Peakhurst South Public School,Pindari Rd,PEAKHURST,2210.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9714,151.055,POINT (151.055 -33.9714),135
NSW,Peakhurst West,Peakhurst West Public School,Ogilvy St,PEAKHURST,2210.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9613,151.05,POINT (151.05 -33.9613),136
NSW,Penshurst Central,Penshurst Girls High School,2 Austral St,PENSHURST,2222.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9641,151.08700000000005,POINT (151.087 -33.9641),138
NSW,Picnic Point North,Picnic Point High School,Kennedy St,PICNIC POINT,2213.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9649,151.01,POINT (151.01 -33.9649),139
NSW,Punchbowl,Punchbowl Public School,1333 Canterbury Rd,PUNCHBOWL,2196.0,N,2010 Polling Places,"Match 02 - state, premises, postcode",-33.9307,151.056,POINT (151.056 -33.9307),2693
NSW,Revesby,Y.M.C.A. Centre,184 The River Rd,REVESBY,2212.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.954,151.017,POINT (151.017 -33.954),140
NSW,Revesby North,Revesby Public School,Victoria St,REVESBY,2212.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9447,151.017,POINT (151.017 -33.9447),141
NSW,Revesby South,Revesby South Public School,Mars St,REVESBY,2212.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9605,151.017,POINT (151.017 -33.9605),142
NSW,Riverwood North,Riverwood Public School,Union St,RIVERWOOD,2210.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9463,151.048,POINT (151.048 -33.9463),144
NSW,Riverwood South,St Andrews Church Hall,9 Littleton St,RIVERWOOD,2210.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9524,151.053,POINT (151.053 -33.9524),145
NSW,Sydney,Sydney Town Hall,George St,SYDNEY,2000.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-33.8735,151.207,POINT (151.207 -33.8735),147
NSW,Allawah,St George Christian School,65 Woids Ave,ALLAWAH,2218.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9713,151.111,POINT (151.111 -33.9713),104
NSW,Allawah South,St Raphaels Church Hall,84 George St,SOUTH HURSTVILLE,2221.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9756,151.111,POINT (151.111 -33.9756),104
NSW,Arncliffe,St Andrews Presbyterian Church Hall,269 Forest Rd,BEXLEY,2207.0,N,google geocode,GEOMETRIC_CENTER,-33.9527868,151.12192209999998,POINT (151.1219221 -33.9527868),156
NSW,Arncliffe East,St Francis Xavier's School,Cnr Forest Rd and Wardell St,ARNCLIFFE,2205.0,N,google geocode,GEOMETRIC_CENTER,-33.9391513,151.14627109999998,POINT (151.1462711 -33.9391513),149
NSW,Athelstane,Athelstane Public School,Athelstane Ave,ARNCLIFFE,2205.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9374,151.138,POINT (151.138 -33.9374),150
NSW,Bald Face,Bald Face Public School,84 Stuart St,BLAKEHURST,2221.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9973,151.107,POINT (151.107 -33.9973),519
NSW,Banksia,Baptist Church Hall,316 Princes Hwy,BANKSIA,2216.0,N,google geocode,ROOFTOP,-33.9459179,151.1415622,POINT (151.1415622 -33.9459179),184
NSW,Bell Park,Hurstville South Public School,Maher St,HURSTVILLE,2220.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9726,151.099,POINT (151.099 -33.9726),118
NSW,Bexley,Anglican Church Hall,Albyn St,BEXLEY,2207.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9515,151.125,POINT (151.125 -33.9515),156
NSW,Bexley Central,St Gabriels School,39 Highgate St,BEXLEY,2207.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9479,151.122,POINT (151.122 -33.9479),156
NSW,Bexley East,Bexley Public School,348 Forest Rd,BEXLEY,2207.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9467,151.128,POINT (151.128 -33.9467),157
