state,polling_place,yes_n,no_n,formal_n,informal_n,total_n,yes_p,no_p,formal_p,informal_p
NSW,Ballimore,21,66,87,1,88,0.2414,0.7586,0.9886,0.0114
NSW,Ballina,1838,2550,4388,52,4440,0.4189,0.5811,0.9883,0.0117
NSW,Ballina East,1226,1165,2391,14,2405,0.5128,0.4872,0.9942,0.0058
NSW,Ballina Hospital,665,931,1596,8,1604,0.4167,0.5833,0.995,0.005
NSW,Ballina West,459,799,1258,9,1267,0.3649,0.6351,0.9929,0.0071
NSW,Balmain,1655,609,2264,17,2281,0.731,0.269,0.9925,0.0075
NSW,Balmain East,640,243,883,8,891,0.7248,0.2752,0.991,0.009
NSW,Balmain Hospital,226,95,321,5,326,0.704,0.296,0.9847,0.0153
NSW,Balmoral,570,367,937,9,946,0.6083,0.3917,0.9905,0.0095
NSW,Balranald,315,616,931,5,936,0.3383,0.6617,0.9947,0.0053
NSW,Bandon Grove,40,85,125,0,125,0.32,0.68,1.0,0.0
NSW,Bangalow,670,467,1137,8,1145,0.5893,0.4107,0.993,0.007
NSW,Bangor,2097,2096,4193,38,4231,0.5001,0.4999,0.991,0.009
NSW,Banksia,1040,820,1860,40,1900,0.5591,0.4409,0.9789,0.0211
NSW,Bankstown Central,1397,934,2331,61,2392,0.5993,0.4007,0.9745,0.0255
NSW,Bankstown North,715,619,1334,20,1354,0.536,0.464,0.9852,0.0148
NSW,Bankstown South,866,900,1766,46,1812,0.4904,0.5096,0.9746,0.0254
NSW,Bankstown West,1035,941,1976,43,2019,0.5238,0.4762,0.9787,0.0213
NSW,Banora Point,1199,1580,2779,20,2799,0.4315,0.5685,0.9929,0.0071
NSW,Banora Point South,945,1337,2282,12,2294,0.4141,0.5859,0.9948,0.0052
NSW,Banora Point West,664,964,1628,16,1644,0.4079,0.5921,0.9903,0.0097
NSW,Baradine,116,473,589,4,593,0.1969,0.8031,0.9933,0.0067
NSW,Barcom,480,143,623,4,627,0.7705,0.2295,0.9936,0.0064
NSW,Barden Ridge,752,691,1443,8,1451,0.5211,0.4789,0.9945,0.0055
NSW,Barellan,69,370,439,1,440,0.1572,0.8428,0.9977,0.0023
NSW,Bargo,649,1149,1798,18,1816,0.361,0.639,0.9901,0.0099
NSW,Barham,283,818,1101,10,1111,0.257,0.743,0.991,0.009
NSW,Barmedman,57,204,261,0,261,0.2184,0.7816,1.0,0.0
NSW,Barnsley,429,690,1119,12,1131,0.3834,0.6166,0.9894,0.0106
NSW,Barooga,310,614,924,3,927,0.3355,0.6645,0.9968,0.0032
NSW,Barraba,343,970,1313,16,1329,0.2612,0.7388,0.988,0.012
