,state,polling_place,latitude,longitude
312,NSW,Condell Park North,-33.922860899999996,151.0129563
313,NSW,Condell Park South,-33.931105,151.02165569999997
316,NSW,Georges Hall,-33.9120805,150.9925655
317,NSW,Granville East,-33.8481385,151.0106418
318,NSW,Granville South,-33.8488183,150.9961068
319,NSW,Guildford South,-33.8608949,150.9962856
320,NSW,Lidcombe,-33.860616,151.0472488
322,NSW,Lidcombe South,-33.8654,151.045
323,NSW,Milperra,-33.9418,150.98
325,NSW,Regents Park,-33.885711,151.023368
326,NSW,Revesby North,-33.9447,151.017
327,NSW,Sefton,-33.8872,151.009
328,NSW,Silverwater,-33.841564,151.038377
333,NSW,Sydney,-33.8730501,151.20645280000002
334,NSW,Villawood East,-33.8895,150.986
335,NSW,Yagoona,-33.9056,151.025
336,NSW,Yagoona West,-33.9064,151.02100000000002
337,NSW,Asquith,-33.6855,151.112
339,NSW,Castle Cove,-33.7831013,151.20244430000002
340,NSW,Chatswood,-33.7957148,151.18369819999998
342,NSW,Chatswood West,-33.798272999999995,151.1782533
344,NSW,Gordon,-33.75679,151.15251
345,NSW,Gordon East,-33.745920899999994,151.1574345
347,NSW,Gordon West,-33.7601,151.139
348,NSW,Hornsby,-33.7,151.097
350,NSW,Hornsby Central,-33.7064,151.102
351,NSW,Hornsby East,-33.70282,151.105087
352,NSW,Hornsby West,-33.70446,151.09712199999998
353,NSW,Killara,-33.7662135,151.1645279
354,NSW,Killara East,-33.7560824,151.17400759999998
355,NSW,Kissing Point,-33.7565262,151.1131977
356,NSW,Lindfield,-33.77448,151.17282
357,NSW,Lindfield East,-33.7681,151.184
358,NSW,Lindfield North,-33.78106,151.16971999999998
359,NSW,Lindfield West,-33.77468,151.14553
360,NSW,Normanhurst,-33.7237,151.09799999999998
361,NSW,Pymble,-33.7395,151.137
362,NSW,Pymble North,-33.731839,151.1411654
363,NSW,Pymble West,-33.763940000000005,151.12354
364,NSW,Roseville,-33.7842,151.179311
365,NSW,Roseville East,-33.782,151.188
366,NSW,Roseville South,-33.786608,151.1895499
367,NSW,St Ives,-33.7291,151.1604
368,NSW,St Ives Chase,-33.7084749,151.1632003
369,NSW,St Ives North,-33.7187,151.164
370,NSW,St Ives Park,-33.72443,151.17793999999998
371,NSW,St Ives South,-33.7403,151.167
375,NSW,Sydney,-33.8730501,151.20645280000002
376,NSW,Turramurra Central,-33.7292,151.128
377,NSW,Turramurra North,-33.7147,151.14700000000002
378,NSW,Turramurra South,-33.7446,151.113
379,NSW,Turramurra Valley,-33.69163820000001,151.151591
380,NSW,Wahroonga,-33.716189,151.1182789
381,NSW,Wahroonga East,-33.7155,151.128
382,NSW,Waitara,-33.7081,151.111
383,NSW,Waitara North,-33.7041743,151.11111340000002
384,NSW,Warrawee,-33.73,151.123
385,NSW,Barry,-33.6464839,149.2717135
386,NSW,Bathurst,-33.4217,149.571
387,NSW,Bathurst Central,-33.42,149.577
388,NSW,Bathurst City,-33.4163,149.58
389,NSW,Bathurst High,-33.4129,149.569
390,NSW,Bathurst Hospital,-33.4168456,149.5813358
392,NSW,Bathurst South,-33.4337,149.569
393,NSW,Bathurst West,-33.4118,149.559
394,NSW,Black Springs,-33.8463,149.74200000000002
395,NSW,Blayney,-33.529,149.252
396,NSW,Bletchington,-33.2693,149.10299999999998
398,NSW,Borenore,-33.251,148.984
399,NSW,Bowen,-33.2802,149.118
400,NSW,Bowenfels South,-33.5152,150.120477
401,NSW,Burraga,-33.9482366,149.52959230000002
402,NSW,Calare School,-33.2872,149.08
403,NSW,Canobolas,-33.3062,149.047
404,NSW,Canowindra,-33.5577156,148.6706656
405,NSW,Capertee,-33.1465683,149.9867103
406,NSW,Carcoar,-33.6118941,149.1420543
407,NSW,Cargo,-33.4277553,148.8078627
408,NSW,Cooerwull,-33.4839494,150.141751
409,NSW,Cudal,-33.2873619,148.74032409999998
410,NSW,Cullen Bullen,-33.2995,150.033
411,NSW,Cumnock,-32.92905,148.748647
413,NSW,Eglinton,-33.3778328,149.5401417
414,NSW,Eugowra,-33.4237,148.369
415,NSW,Geurie,-32.3961,148.829
416,NSW,Glen Alice,-33.042699600000006,150.2143916
417,NSW,Glenroi,-33.2972043,149.1117993
418,NSW,Gulgong,-32.3616,149.534
419,NSW,Hampton,-33.6487525,150.0490689
420,NSW,Hargraves,-32.7854,149.46200000000002
421,NSW,Hartley,-33.551,150.188
422,NSW,Hermitage,-33.4799,150.149
423,NSW,Hill End,-33.0349,149.416
424,NSW,Ilford,-32.9668,149.856
425,NSW,Kandos,-32.856,149.975
426,NSW,Kelso,-33.4176,149.60399999999998
427,NSW,Lithgow,-33.4818,150.16
429,NSW,Lucknow,-33.3445,149.161
430,NSW,Lue,-32.656663300000005,149.84552130000003
431,NSW,Lyndhurst,-33.6738179,149.0445601
432,NSW,Mandurama,-33.6518,149.07
433,NSW,Manildra,-33.1837915,148.691797
434,NSW,Meadow Flat,-33.4344484,149.9201679
435,NSW,Millthorpe,-33.445475800000004,149.1857157
436,NSW,Molong,-33.0948742,148.86560500000002
437,NSW,Mudgee,-32.5914,149.592
438,NSW,Mudgee Central,-32.5984,149.583
440,NSW,Mudgee South,-32.6066,149.584
441,NSW,Mullion Creek,-33.1391,149.121
442,NSW,Mumbil,-32.7219,149.05100000000002
443,NSW,Nashdale,-33.294070899999994,149.01238659999999
444,NSW,Neville,-33.709,149.217
445,NSW,O'Connell,-33.5245,149.72
446,NSW,Oakey Park,-33.466,150.183
447,NSW,Oberon,-33.7021,149.859
448,NSW,Orange,-33.285490100000004,149.0968798
449,NSW,Orange East,-33.2848161,149.10785780000003
450,NSW,Orange Hospital Bloomfield,-33.3169716,149.09360569999998
451,NSW,Orange North,-33.2798185,149.0946465
452,NSW,Orange North West,-33.2583532,149.0726671
454,NSW,Orange South,-33.293091,149.09705359999998
