longitude,latitude,SSC_CODE16,SSC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,xcoord,ycoord
149.9435423,-35.34330722,10126,Back Creek (Queanbeyan-Palerang Regional - NSW),1,New South Wales,39.2653,149.94354,-35.34331
151.7288938,-28.96166696,10127,Back Creek (Tenterfield - NSW),1,New South Wales,200.741,151.72889,-28.96167
153.1701666,-28.40916585,10128,Back Creek (Tweed - NSW),1,New South Wales,7.4364,153.17017,-28.40917
150.6811436,-34.84051847,10129,Back Forest,1,New South Wales,5.979,150.68114,-34.84052
153.0257623,-28.75692168,10130,Backmede,1,New South Wales,29.4886,153.02576,-28.75692
151.9173783,-30.04710137,10131,Backwater,1,New South Wales,126.3462,151.91738,-30.0471
150.745209,-33.88201419,10132,Badgerys Creek,1,New South Wales,26.981,150.74521,-33.88201
149.5171025,-36.05910664,10133,Badja,1,New South Wales,130.2836,149.5171,-36.05911
150.460363,-32.40162185,10134,Baerami,1,New South Wales,151.2264,150.46036,-32.40162
150.4933451,-32.57417613,10135,Baerami Creek,1,New South Wales,367.2391,150.49335,-32.57418
152.5344272,-31.47106401,10136,Bagnoo,1,New South Wales,37.7957,152.53443,-31.47106
152.6671467,-31.51174763,10137,Bago,1,New South Wales,63.0427,152.66715,-31.51175
153.4130404,-28.97612625,10138,Bagotville,1,New South Wales,9.9221,153.41304,-28.97613
152.1011952,-31.97289358,10139,Bakers Creek (Mid-Coast - NSW),1,New South Wales,40.4685,152.1012,-31.97289
152.7145385,-30.82637866,10140,Bakers Creek (Nambucca - NSW),1,New South Wales,57.2165,152.71454,-30.82638
150.9955738,-30.32482138,10141,Bakers Creek (Uralla - NSW),1,New South Wales,161.5919,150.99557,-30.32482
148.9332811,-32.77152964,10142,Bakers Swamp,1,New South Wales,136.4942,148.93328,-32.77153
150.4832482,-34.44021474,10143,Balaclava (NSW),1,New South Wales,2.376,150.48325,-34.44021
151.2991142,-30.62033226,10144,Balala,1,New South Wales,357.1643,151.29911,-30.62033
151.5519747,-33.09571506,10145,Balcolyn,1,New South Wales,0.7391,151.55197,-33.09572
151.8171936,-30.18021225,10146,Bald Blair,1,New South Wales,101.2316,151.81719,-30.18021
149.84279,-36.91173385,10147,Bald Hills (NSW),1,New South Wales,10.7141,149.84279,-36.91173
151.9881152,-29.67875795,10148,Bald Nob,1,New South Wales,77.4933,151.98812,-29.67876
149.4340734,-33.93298246,10149,Bald Ridge,1,New South Wales,135.8045,149.43407,-33.93298
151.4244361,-30.2431179,10150,Baldersleigh,1,New South Wales,164.3569,151.42444,-30.24312
148.467695,-32.88818533,10151,Baldry,1,New South Wales,473.5339,148.4677,-32.88819
150.7644478,-29.47020353,10152,Balfours Peak,1,New South Wales,170.9276,150.76445,-29.4702
151.261783,-33.79475768,10153,Balgowlah,1,New South Wales,1.959,151.26178,-33.79476
151.2651897,-33.80687301,10154,Balgowlah Heights,1,New South Wales,1.6838,151.26519,-33.80687
150.8710997,-34.38657475,10155,Balgownie,1,New South Wales,3.6874,150.8711,-34.38657
151.8042966,-32.65828904,10156,Balickera,1,New South Wales,27.4725,151.8043,-32.65829
148.6011125,-31.87594383,10157,Balladoran,1,New South Wales,243.1277,148.60111,-31.87594
149.6401703,-35.61874005,10158,Ballalaba,1,New South Wales,43.7739,149.64017,-35.61874
146.5174303,-35.81573331,10159,Balldale,1,New South Wales,191.2906,146.51743,-35.81573
152.7052515,-31.31776989,10160,Ballengarra,1,New South Wales,23.3563,152.70525,-31.31777
148.901139,-32.17876419,10161,Ballimore,1,New South Wales,229.3129,148.90114,-32.17876
153.559147,-28.83995886,10162,Ballina,1,New South Wales,20.4607,153.55915,-28.83996
149.570958,-34.04846239,10163,Ballyroe,1,New South Wales,82.9191,149.57096,-34.04846
151.1798571,-33.85824612,10164,Balmain,1,New South Wales,1.5378,151.17986,-33.85825
151.1935133,-33.85630637,10165,Balmain East,1,New South Wales,0.343,151.19351,-33.85631
151.5790146,-33.04579673,10166,Balmoral (Lake Macquarie - NSW),1,New South Wales,0.8572,151.57901,-33.0458
150.515294,-34.30254348,10167,Balmoral (Wingecarribee - NSW),1,New South Wales,26.3216,150.51529,-34.30254
143.4170128,-34.3334168,10168,Balranald,1,New South Wales,5203.7421,143.41701,-34.33342
150.5188491,-34.9043319,10169,Bamarang,1,New South Wales,11.8092,150.51885,-34.90433
152.4528872,-31.19475621,10170,Banda Banda,1,New South Wales,70.5119,152.45289,-31.19476
151.7014845,-32.27068016,10171,Bandon Grove,1,New South Wales,50.4499,151.70148,-32.27068
147.9847967,-35.27329818,10172,Bangadang,1,New South Wales,17.9611,147.9848,-35.2733
150.5515289,-34.84428007,10173,Bangalee (NSW),1,New South Wales,6.5613,150.55153,-34.84428
153.5219653,-28.68328769,10174,Bangalow,1,New South Wales,24.4046,153.52197,-28.68329
150.4165506,-29.83711772,10175,Bangheet,1,New South Wales,183.8029,150.41655,-29.83712
148.966963,-34.75682059,10176,Bango,1,New South Wales,108.4104,148.96696,-34.75682
151.0325822,-34.01631723,10177,Bangor (NSW),1,New South Wales,3.9221,151.03258,-34.01632
151.1454358,-33.94647548,10178,Banksia,1,New South Wales,0.9568,151.14544,-33.94648
151.2148743,-33.95615599,10179,Banksmeadow,1,New South Wales,3.5881,151.21487,-33.95616
151.0317642,-33.92053025,10180,Bankstown,1,New South Wales,6.3927,151.03176,-33.92053
150.9885473,-33.92261748,10181,Bankstown Aerodrome,1,New South Wales,3.7302,150.98855,-33.92262
149.9948994,-34.40980218,10182,Bannaby,1,New South Wales,242.3257,149.9949,-34.4098
149.4912665,-34.60636696,10183,Bannister (NSW),1,New South Wales,109.924,149.49127,-34.60637
150.4083633,-30.52595906,10184,Banoon,1,New South Wales,122.9755,150.40836,-30.52596
153.5363779,-28.22184382,10185,Banora Point,1,New South Wales,9.6031,153.53638,-28.22184
152.9341151,-29.37203985,10186,Banyabba,1,New South Wales,206.6207,152.93412,-29.37204
151.7686263,-32.93897545,10187,Bar Beach,1,New South Wales,0.5058,151.76863,-32.93898
151.1743199,-33.49167822,10188,Bar Point,1,New South Wales,10.0358,151.17432,-33.49168
149.8300859,-32.5725043,10189,Bara,1,New South Wales,27.6084,149.83009,-32.5725
149.166643,-30.95793089,10190,Baradine,1,New South Wales,543.0578,149.16664,-30.95793
151.2015609,-33.86054234,10191,Barangaroo,1,New South Wales,0.2227,151.20156,-33.86054
153.2025501,-29.90033343,10192,Barcoongere,1,New South Wales,193.4716,153.20255,-29.90033
151.0040488,-34.03407486,10193,Barden Ridge,1,New South Wales,5.5991,151.00405,-34.03407
150.8616056,-33.97737419,10194,Bardia,1,New South Wales,2.1101,150.86161,-33.97737
151.1253752,-33.93496604,10195,Bardwell Park,1,New South Wales,0.9557,151.12538,-33.93497
151.1318074,-33.93738488,10196,Bardwell Valley,1,New South Wales,0.6271,151.13181,-33.93738
146.5956572,-34.18296259,10197,Barellan,1,New South Wales,986.5272,146.59566,-34.18296
150.5870571,-34.28406797,10198,Bargo,1,New South Wales,49.0897,150.58706,-34.28407
